Name,Importance_index,Page,IsChapter
Cover,1,1,False
Copyright,1,4,False
Table of Contents,1,5,False
Preface,1,13,False
The Machine Learning Tsunami,2,13,False
Machine Learning in Your Projects,2,13,False
Objective and Approach,2,14,False
Prerequisites,2,15,False
Roadmap,2,15,False
Other Resources,2,17,False
Conventions Used in This Book,2,18,False
Code Examples,2,19,False
Using Code Examples,2,20,False
O’Reilly Safari,2,20,False
How to Contact Us,2,20,False
Changes in the Second Edition,2,21,False
Acknowledgments,2,25,False
Part I. The Fundamentals of Machine Learning,1,27,False
Chapter 1. The Machine Learning Landscape,2,29,True
What Is Machine Learning?,3,30,False
Why Use Machine Learning?,3,30,False
Types of Machine Learning Systems,3,34,False
Supervised/Unsupervised Learning,4,34,False
Batch and Online Learning,4,41,False
Instance-Based Versus Model-Based Learning,4,44,False
Main Challenges of Machine Learning,3,50,False
Insufficient Quantity of Training Data,4,50,False
Nonrepresentative Training Data,4,52,False
Poor-Quality Data,4,53,False
Irrelevant Features,4,53,False
Overfitting the Training Data,4,54,False
Underfitting the Training Data,4,56,False
Stepping Back,4,56,False
Testing and Validating,3,57,False
Hyperparameter Tuning and Model Selection,4,58,False
Data Mismatch,4,59,False
Exercises,3,60,False
Chapter 2. End-to-End Machine Learning Project,2,63,True
Working with Real Data,3,64,False
Look at the Big Picture,3,65,False
Frame the Problem,4,65,False
Select a Performance Measure,4,68,False
Check the Assumptions,4,71,False
Get the Data,3,71,False
Create the Workspace,4,71,False
Download the Data,4,75,False
Take a Quick Look at the Data Structure,4,76,False
Create a Test Set,4,80,False
Discover and Visualize the Data to Gain Insights,3,84,False
Visualizing Geographical Data,4,85,False
Looking for Correlations,4,88,False
Experimenting with Attribute Combinations,4,91,False
Prepare the Data for Machine Learning Algorithms,3,92,False
Data Cleaning,4,93,False
Handling Text and Categorical Attributes,4,95,False
Custom Transformers,4,97,False
Feature Scaling,4,98,False
Transformation Pipelines,4,99,False
Select and Train a Model,3,101,False
Training and Evaluating on the Training Set,4,101,False
Better Evaluation Using Cross-Validation,4,102,False
Fine-Tune Your Model,3,105,False
Grid Search,4,105,False
Randomized Search,4,107,False
Ensemble Methods,4,108,False
Analyze the Best Models and Their Errors,4,108,False
Evaluate Your System on the Test Set,4,109,False
"Launch, Monitor, and Maintain Your System",3,110,False
Try It Out!,3,111,False
Exercises,3,111,False
Chapter 3. Classification,2,113,True
MNIST,3,113,False
Training a Binary Classifier,3,116,False
Performance Measures,3,116,False
Measuring Accuracy Using Cross-Validation,4,117,False
Confusion Matrix,4,118,False
Precision and Recall,4,120,False
Precision/Recall Tradeoff,4,121,False
The ROC Curve,4,125,False
Multiclass Classification,3,128,False
Error Analysis,3,130,False
Multilabel Classification,3,134,False
Multioutput Classification,3,135,False
Exercises,3,136,False
Chapter 4. Training Models,2,139,True
Linear Regression,3,140,False
The Normal Equation,4,142,False
Computational Complexity,4,145,False
Gradient Descent,3,145,False
Batch Gradient Descent,4,149,False
Stochastic Gradient Descent,4,152,False
Mini-batch Gradient Descent,4,155,False
Polynomial Regression,3,156,False
Learning Curves,3,158,False
Regularized Linear Models,3,162,False
Ridge Regression,4,163,False
Lasso Regression,4,165,False
Elastic Net,4,168,False
Early Stopping,4,168,False
Logistic Regression,3,170,False
Estimating Probabilities,4,170,False
Training and Cost Function,4,171,False
Decision Boundaries,4,172,False
Softmax Regression,4,175,False
Exercises,3,179,False
Chapter 5. Support Vector Machines,2,181,True
Linear SVM Classification,3,181,False
Soft Margin Classification,4,182,False
Nonlinear SVM Classification,3,185,False
Polynomial Kernel,4,186,False
Adding Similarity Features,4,187,False
Gaussian RBF Kernel,4,188,False
Computational Complexity,4,189,False
SVM Regression,3,190,False
Under the Hood,3,192,False
Decision Function and Predictions,4,192,False
Training Objective,4,193,False
